Team,rotation,pen,lineup,bench,WAR,division,W,L,proj_wins,proj_losses,Division,WC,Playoffs
CIN,1,1,1,1,1,NLC,70,45,104,58,1,0,1
SD,7,2,3,3,3,NLW,77,39,105,57,0.9883,0.0117,1
LAD,9,9,8,12,9,NLW,69,47,94,68,0.0117,0.9871,0.9988
BOS,5,4,7,9,5,ALE,71,46,97,65,0.9251,0.0671,0.9922
DET,3,3,5,5,4,ALC,70,45,98,64,0.6178,0.3734,0.9912
SEA,6,8,11,16,10,ALW,71,45,96,66,0.9783,0.0077,0.986
MIN,4,5,2,21,2,ALC,67,49,96,66,0.3822,0.5921,0.9743
COL,8,11,6,2,6,NLW,60,56,86,76,0,0.8856,0.8856
PHI,19,19,24,7,18,NLE,64,52,85,77,0.869,0.0107,0.8797
TB,12,14,4,11,8,ALE,65,51,91,71,0.0591,0.567,0.6261
NYY,2,7,9,26,7,ALE,62,54,88,74,0.0158,0.2664,0.2822
WAS,11,12,12,29,12,NLE,57,58,80,82,0.1277,0.0337,0.1614
TEX,10,6,10,17,11,ALW,62,55,86,76,0.0217,0.1241,0.1458
CHC,24,16,29,6,25,NLC,59,57,79,83,0,0.0334,0.0334
STL,30,29,16,10,28,NLC,58,56,79,83,0,0.0319,0.0319
NYM,22,27,20,22,21,NLE,53,62,74,88,0.003,0.0019,0.0049
PIT,16,13,23,20,16,NLC,53,62,75,87,0,0.0026,0.0026
KC,26,28,22,13,23,ALC,59,58,79,83,0,0.0015,0.0015
MIL,28,30,21,14,29,NLC,55,61,75,87,0,0.0014,0.0014
CWS,17,22,13,19,13,ALC,55,60,77,85,0,0.0007,0.0007
ATL,14,23,18,8,15,NLE,49,69,70,92,0.0003,0,0.0003
